fecha,indicador,operadora,valor,origen_valor
01/01/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1560599,OMP 01
01/02/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1436405,OMP 01
01/03/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1443955,OMP 01
01/04/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1607149,OMP 01
01/05/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1582679,OMP 01
01/06/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1513014,OMP 01
01/07/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1797169,OMP 01
01/08/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1671581,OMP 01
01/09/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1531158,OMP 01
01/10/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1783306,OMP 01
01/11/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1735737,OMP 01
01/12/2018,Compras en POS con Tarjeta de Crédito,Cantidad,1621623,OMP 01
01/01/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1718665,OMP 01
01/02/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1565041,OMP 01
01/03/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1599283,OMP 01
01/04/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1739694,OMP 01
01/05/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1746323,OMP 01
01/06/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1594638,OMP 01
01/07/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1864487,OMP 01
01/08/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1748297,OMP 01
01/09/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1784883,OMP 01
01/10/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1815023,OMP 01
01/11/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1790542,OMP 01
01/12/2019,Compras en POS con Tarjeta de Crédito,Cantidad,1848978,OMP 01
01/01/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1696792,OMP 01
01/02/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1661104,OMP 01
01/03/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1367317,OMP 01
01/04/2020,Compras en POS con Tarjeta de Crédito,Cantidad,640695,OMP 01
01/05/2020,Compras en POS con Tarjeta de Crédito,Cantidad,795444,OMP 01
01/06/2020,Compras en POS con Tarjeta de Crédito,Cantidad,958225,OMP 01
01/07/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1090698,OMP 01
01/08/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1106891,OMP 01
01/09/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1134699,OMP 01
01/10/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1298620,OMP 01
01/11/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1429871,OMP 01
01/12/2020,Compras en POS con Tarjeta de Crédito,Cantidad,1466840,OMP 01
01/01/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1361907.4,OMP 01
01/02/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1424916.4,OMP 01
01/03/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1568163.8,OMP 01
01/04/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1365750.4,OMP 01
01/05/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1526530.4,OMP 01
01/06/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1518994.8,OMP 01
01/07/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1630960,OMP 01
01/08/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1889117.8,OMP 01
01/09/2021,Compras en POS con Tarjeta de Crédito,Cantidad,1840004.4,OMP 01
