fecha,metrica,procesadora,valor,origen
01/02/2018,PYG,2018/01,2018/02,OMP 01
01/03/2018,PYG,2018/01,2018/03,OMP 01
01/04/2018,PYG,2018/01,2018/04,OMP 01
01/05/2018,PYG,2018/01,2018/05,OMP 01
01/06/2018,PYG,2018/01,2018/06,OMP 01
01/07/2018,PYG,2018/01,2018/07,OMP 01
01/08/2018,PYG,2018/01,2018/08,OMP 01
01/09/2018,PYG,2018/01,2018/09,OMP 01
01/10/2018,PYG,2018/01,2018/10,OMP 01
01/11/2018,PYG,2018/01,2018/11,OMP 01
01/12/2018,PYG,2018/01,2018/12,OMP 01
01/01/2019,PYG,2018/01,2019/01,OMP 01
01/02/2019,PYG,2018/01,2019/02,OMP 01
01/03/2019,PYG,2018/01,2019/03,OMP 01
01/04/2019,PYG,2018/01,2019/04,OMP 01
01/05/2019,PYG,2018/01,2019/05,OMP 01
01/06/2019,PYG,2018/01,2019/06,OMP 01
01/07/2019,PYG,2018/01,2019/07,OMP 01
01/08/2019,PYG,2018/01,2019/08,OMP 01
01/09/2019,PYG,2018/01,2019/09,OMP 01
01/10/2019,PYG,2018/01,2019/10,OMP 01
01/11/2019,PYG,2018/01,2019/11,OMP 01
01/12/2019,PYG,2018/01,2019/12,OMP 01
01/01/2020,PYG,2018/01,2020/01,OMP 01
01/02/2020,PYG,2018/01,2020/02,OMP 01
01/03/2020,PYG,2018/01,2020/03,OMP 01
01/04/2020,PYG,2018/01,2020/04,OMP 01
01/05/2020,PYG,2018/01,2020/05,OMP 01
01/06/2020,PYG,2018/01,2020/06,OMP 01
01/07/2020,PYG,2018/01,2020/07,OMP 01
01/08/2020,PYG,2018/01,2020/08,OMP 01
01/09/2020,PYG,2018/01,2020/09,OMP 01
01/10/2020,PYG,2018/01,2020/10,OMP 01
01/11/2020,PYG,2018/01,2020/11,OMP 01
01/12/2020,PYG,2018/01,2020/12,OMP 01
01/01/2021,PYG,2018/01,2021/01,OMP 01
01/02/2021,PYG,2018/01,2021/02,OMP 01
01/03/2021,PYG,2018/01,2021/03,OMP 01
01/04/2021,PYG,2018/01,2021/04,OMP 01
01/05/2021,PYG,2018/01,2021/05,OMP 01
01/06/2021,PYG,2018/01,2021/06,OMP 01
01/07/2021,PYG,2018/01,2021/07,OMP 01
01/08/2021,PYG,2018/01,2021/08,OMP 01
01/09/2021,PYG,2018/01,2021/09,OMP 01
01/10/2021,PYG,2018/01,2021/10,OMP 01
01/11/2021,PYG,2018/01,2021/11,OMP 01
01/12/2021,PYG,2018/01,2021/12,OMP 01
01/01/2022,PYG,2018/01,2022/01,OMP 01
01/02/2022,PYG,2018/01,2022/02,OMP 01
01/03/2022,PYG,2018/01,2022/03,OMP 01
01/04/2022,PYG,2018/01,2022/04,OMP 01
01/05/2022,PYG,2018/01,2022/05,OMP 01
01/06/2022,PYG,2018/01,2022/06,OMP 01
01/07/2022,PYG,2018/01,2022/07,OMP 01
01/08/2022,PYG,2018/01,2022/08,OMP 01
01/09/2022,PYG,2018/01,2022/09,OMP 01
01/10/2022,PYG,2018/01,2022/10,OMP 01
01/11/2022,PYG,2018/01,2022/11,OMP 01
01/12/2022,PYG,2018/01,2022/12,OMP 01
01/01/2023,PYG,2018/01,2023/01,OMP 01
01/02/2023,PYG,2018/01,2023/02,OMP 01
01/03/2023,PYG,2018/01,2023/03,OMP 01
01/04/2023,PYG,2018/01,2023/04,OMP 01
01/05/2023,PYG,2018/01,2023/05,OMP 01
01/06/2023,PYG,2018/01,2023/06,OMP 01
01/07/2023,PYG,2018/01,2023/07,OMP 01
01/08/2023,PYG,2018/01,2023/08,OMP 01
01/09/2023,PYG,2018/01,2023/09,OMP 01
01/10/2023,PYG,2018/01,2023/10,OMP 01
01/11/2023,PYG,2018/01,2023/11,OMP 01
01/12/2023,PYG,2018/01,2023/12,OMP 01
01/01/2024,PYG,2018/01,2024/01,OMP 01
01/02/2024,PYG,2018/01,2024/02,OMP 01
01/03/2024,PYG,2018/01,2024/03,OMP 01
01/04/2024,PYG,2018/01,2024/04,OMP 01
01/05/2024,PYG,2018/01,2024/05,OMP 01
01/06/2024,PYG,2018/01,2024/06,OMP 01
01/07/2024,PYG,2018/01,2024/07,OMP 01
01/08/2024,PYG,2018/01,2024/08,OMP 01
01/09/2024,PYG,2018/01,2024/09,OMP 01
