fecha,metrica,procesadora,valor,origen
01/02/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,1002112,OMP 01
01/03/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,1000466,OMP 01
01/04/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,996605,OMP 01
01/05/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,996007,OMP 01
01/06/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,992426,OMP 01
01/07/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,993651,OMP 01
01/08/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,994186,OMP 01
01/09/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,994392,OMP 01
01/10/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,995160,OMP 01
01/11/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,999531,OMP 01
01/12/2018,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,995563,OMP 01
01/01/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,993087,OMP 01
01/02/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,992405,OMP 01
01/03/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,992534,OMP 01
01/04/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,991901,OMP 01
01/05/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,992299,OMP 01
01/06/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,991109,OMP 01
01/07/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,990083,OMP 01
01/08/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,990822,OMP 01
01/09/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,991919,OMP 01
01/10/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,991633,OMP 01
01/11/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,994335,OMP 01
01/12/2019,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,995074,OMP 01
01/01/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,993979,OMP 01
01/02/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,995533,OMP 01
01/03/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,994239,OMP 01
01/04/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,990341,OMP 01
01/05/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,989999,OMP 01
01/06/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,983099,OMP 01
01/07/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,974953,OMP 01
01/08/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,965754,OMP 01
01/09/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,954582,OMP 01
01/10/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,946099,OMP 01
01/11/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,942052,OMP 01
01/12/2020,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,935427,OMP 01
01/01/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,928765,OMP 01
01/02/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,931022,OMP 01
01/03/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,932584,OMP 01
01/04/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,934831,OMP 01
01/05/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,938543,OMP 01
01/06/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,936292,OMP 01
01/07/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,939741,OMP 01
01/08/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,940685,OMP 01
01/09/2021,Cantidad de Tarjetas de Crédito Activas por Operadora,1005539,947403,OMP 01
